q_id,name,birth_date,occupation,job_group,exalted_planets,exalted_count,sign_conjunctions,conjunction_count,sign_exchange_candidates,exchange_count,Sun_exalted,Moon_exalted,Mercury_exalted,Venus_exalted,Mars_exalted,Jupiter_exalted,Saturn_exalted
Q1047,Dieter Eckstein,1964-03-12,German footballer,Athlete,None,0,Sun-Mercury|Sun-Mars|Moon-Saturn|Mercury-Mars,4,None,0,False,False,False,False,False,False,False
Q1048,Charles Akonnor,1974-03-12,Ghanaian footballer,Athlete,None,0,Mercury-Jupiter,1,Mercury-Saturn,1,False,False,False,False,False,False,False
Q1049,Atif Aslam,1983-03-12,Pakistani singer and actor,Actor_Media,Venus|Saturn,2,None,0,Jupiter-Mars,1,False,False,False,True,False,False,True
Q1050,Daniele Baselli,1992-03-12,Italian footballer,Athlete,Mars,1,Mars-Saturn,1,None,0,False,False,False,False,True,False,False
Q1051,"Louis I, Duke of Orléans",1372-03-13,,Unknown,Venus,1,Sun-Moon|Sun-Mercury|Sun-Venus|Mercury-Venus|Mars-Jupiter,5,Jupiter-Venus,1,False,False,False,True,False,False,False
Q1052,Michel Blavet,1700-03-13,French flute player and composer,Athlete,None,0,Mercury-Saturn,1,None,0,False,False,False,False,False,False,False
Q1053,Karl Friedrich Schinkel,1781-03-13,"German painter and architect, designed the Konzerthaus Berlin",Engineering_Tech,None,0,Mars-Saturn,1,Jupiter-Mars,1,False,False,False,False,False,False,False
Q1054,Paul Prosper Henrys,1862-03-13,French general,Politics_Government,None,0,Mercury-Venus|Jupiter-Saturn,2,None,0,False,False,False,False,False,False,False
Q1055,Home Run Baker,1886-03-13,American baseball player and manager,Athlete,Moon,1,None,0,Jupiter-Mercury,1,False,True,False,False,False,False,False
Q1056,Andrée Bosquet,1900-03-13,Belgian painter,Other,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1057,W. O. Mitchell,1914-03-13,Canadian author and playwright,Writer_Journalism,Venus,1,Sun-Mercury|Sun-Venus,2,None,0,False,False,False,True,False,False,False
Q1058,Zbigniew Messner,1929-03-13,"Polish economist and politician, 9th Prime Minister of the Republic of Poland",Politics_Government,None,0,Venus-Jupiter,1,None,0,False,False,False,False,False,False,False
Q1059,Dave Cutler,1942-03-13,American computer scientist and engineer,Academic_Science,None,0,Moon-Venus,1,Saturn-Venus,1,False,False,False,False,False,False,False
Q1060,Andy Bean,1953-03-13,American golfer,Athlete,Saturn,1,Venus-Mars,1,None,0,False,False,False,False,False,False,True
Q1061,Adam Clayton,1960-03-13,English-Irish musician and songwriter,Actor_Media,Mars,1,Sun-Mercury,1,None,0,False,False,False,False,True,False,False
Q1062,Tim Story,1970-03-13,American director and producer,Actor_Media,Moon|Venus,2,Mars-Saturn,1,Jupiter-Venus,1,False,True,False,True,False,False,False
Q1063,Johan Santana,1979-03-13,Venezuelan baseball player,Athlete,Jupiter,1,None,0,Saturn-Sun,1,False,False,False,False,False,True,False
Q1064,Marco Andretti,1987-03-13,American race car driver,Other,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1065,Gerard Deulofeu,1994-03-13,Spanish footballer,Athlete,Venus,1,Moon-Venus|Mars-Saturn,2,Jupiter-Venus,1,False,False,False,True,False,False,False
Q1066,Uljay Qutlugh Khatun,1888-03-14,Mongol empress consort of the Ilkhanate.,Other,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1067,Johann Strauss I,1804-03-14,Austrian composer and conductor,Other,None,0,Moon-Venus|Mercury-Mars,2,Mercury-Saturn,1,False,False,False,False,False,False,False
Q1068,Charles Ammi Cutter,1837-03-14,American librarian,Other,Jupiter|Saturn,2,Mercury-Venus|Mars-Jupiter,2,Saturn-Venus,1,False,False,False,False,False,True,True
Q1069,Algernon Blackwood,1869-03-14,English author and playwright,Writer_Journalism,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1070,K. C. Irving,1899-03-14,"Canadian businessman, founded Irving Oil",Business,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1071,Cliff Bastin,1912-03-14,English footballer,Athlete,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1072,Max Shulman,1919-03-14,American author and screenwriter,Writer_Journalism,Venus,1,Moon-Saturn|Mercury-Mars,2,Jupiter-Mercury,1,False,False,False,True,False,False,False
Q1073,Frank Borman,1928-03-14,American astronaut,Other,Mars,1,Moon-Saturn|Mercury-Venus,2,Mars-Saturn,1,False,False,False,False,True,False,False
Q1074,Raymond J. Barry,1939-03-14,American actor,Actor_Media,None,0,Sun-Jupiter|Mercury-Saturn,2,Jupiter-Saturn,1,False,False,False,False,False,False,False
Q1075,Tom Coburn,1948-03-14,American physician and politician,Politics_Government,None,0,Moon-Venus|Mars-Saturn,2,Mars-Moon,1,False,False,False,False,False,False,False
Q1076,"Albert II, Prince of Monaco",1958-03-14,,Unknown,Mars,1,None,0,None,0,False,False,False,False,True,False,False
Q1077,Jonas Elmer,1966-03-14,"Danish actor, director, and screenwriter",Actor_Media,None,0,Sun-Saturn|Mercury-Mars,2,None,0,False,False,False,False,False,False,False
Q1078,Brian Quinn,1976-03-14,American improvisational comedian and actor,Actor_Media,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1079,Elton Chigumbura,1986-03-14,Zimbabwean cricketer,Athlete,Venus,1,Sun-Mercury,1,None,0,False,False,False,True,False,False,False
Q1080,Brandon Aubrey,1995-03-14,American multi-sport athlete,Athlete,None,0,Sun-Saturn|Moon-Mars,2,None,0,False,False,False,False,False,False,False
Q1081,Anne de Montmorency,1493-03-15,French captain and diplomat,Other,Jupiter,1,None,0,None,0,False,False,False,False,False,True,False
Q1082,Andrew Jackson,1767-03-15,"American general, judge, and politician, 7th President of the United States",Politics_Government,Venus,1,Moon-Jupiter|Mercury-Venus,2,Jupiter-Sun,1,False,False,False,True,False,False,False
Q1083,Johann Josef Loschmidt,1821-03-15,Austrian physicist and chemist,Academic_Science,None,0,Mercury-Jupiter|Mercury-Saturn|Venus-Mars,3,None,0,False,False,False,False,False,False,False
Q1084,"Augusta, Lady Gregory",1852-03-15,"Anglo-Irish landowner, playwright, and translator",Other,None,0,Sun-Mercury|Venus-Saturn,2,None,0,False,False,False,False,False,False,False
Q1085,Harold L. Ickes,1874-03-15,"American journalist and politician, United States Secretary of the Interior",Politics_Government,Venus,1,Sun-Mercury|Sun-Venus|Moon-Saturn|Mercury-Venus,4,Jupiter-Mercury,1,False,False,False,True,False,False,False
Q1086,Zarah Leander,1907-03-15,Swedish actress and singer,Actor_Media,None,0,Sun-Mercury|Sun-Saturn,2,Jupiter-Mercury,1,False,False,False,False,False,False,False
Q1087,Madelyn Pugh,1921-03-15,American television writer and producer,Actor_Media,Moon,1,None,0,Jupiter-Sun,1,False,True,False,False,False,False,False
Q1088,Ruth Bader Ginsburg,1933-03-15,American lawyer and judge,Law,None,0,None,0,Jupiter-Sun,1,False,False,False,False,False,False,False
Q1089,David Cronenberg,1943-03-15,"Canadian actor, director, and screenwriter",Actor_Media,Venus|Mars,2,Moon-Jupiter,1,None,0,False,False,False,True,True,False,False
Q1090,Isobel Buchanan,1954-03-15,Scottish soprano and actress,Actor_Media,Venus|Saturn,2,None,0,Jupiter-Venus,1,False,False,False,True,False,False,True
Q1091,Rockwell,1964-03-15,American singer-songwriter and musician,Actor_Media,None,0,Sun-Mercury|Sun-Mars|Mercury-Mars,3,None,0,False,False,False,False,False,False,False
Q1092,Joanne Wise,1971-03-15,English long jumper,Other,None,0,None,0,Jupiter-Mars,1,False,False,False,False,False,False,False
Q1093,Kyle Mills,1979-03-15,New Zealand cricketer,Athlete,Jupiter,1,None,0,None,0,False,False,False,False,False,True,False
Q1094,Eric Decker,1987-03-15,American football player,Athlete,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1095,Matt Gay,1994-03-15,American football player,Athlete,Venus,1,Mars-Saturn,1,Jupiter-Venus,1,False,False,False,True,False,False,False
Q1096,Xuande Emperor,1399-03-16,ruler of Ming China,Other,None,0,Sun-Moon,1,Jupiter-Sun,1,False,False,False,False,False,False,False
Q1097,René Le Bossu,1631-03-16,French literary critic,Other,Venus|Saturn,2,Sun-Venus|Sun-Jupiter|Venus-Jupiter,3,None,0,False,False,False,True,False,False,True
Q1098,Caroline Herschel,1750-03-16,German-English astronomer,Academic_Science,Venus,1,None,0,None,0,False,False,False,True,False,False,False
Q1099,Alaric Alexander Watts,1797-03-16,English poet and journalist,Writer_Journalism,None,0,Sun-Jupiter|Mercury-Venus,2,Mercury-Saturn,1,False,False,False,False,False,False,False
Q1100,William Henry Monk,1823-03-16,English organist and composer,Other,Venus,1,Sun-Mars|Moon-Saturn,2,Jupiter-Venus,1,False,False,False,True,False,False,False
Q1101,"Napoléon, Prince Imperial",1856-03-16,of France,Other,None,0,Mercury-Venus,1,Mercury-Saturn,1,False,False,False,False,False,False,False
Q1102,Ethel Anderson,1883-03-16,"Australian poet, author, and painter",Writer_Journalism,None,0,Mercury-Mars,1,Mars-Saturn,1,False,False,False,False,False,False,False
Q1103,Alexis Chantraine,1901-03-16,Belgian footballer,Athlete,None,0,Mercury-Venus|Jupiter-Saturn,2,None,0,False,False,False,False,False,False,False
Q1104,Mehrdad Pahlbod,1917-03-16,Iranian politician,Politics_Government,None,0,Sun-Mars|Mercury-Venus|Venus-Mars,3,None,0,False,False,False,False,False,False,False
Q1105,Augusto Boal,1931-03-16,"Brazilian theatre director, writer and politician",Actor_Media,None,0,Sun-Mercury,1,Jupiter-Mercury,1,False,False,False,False,False,False,False
Q1106,Roger Crozier,1942-03-16,Canadian-American ice hockey player,Athlete,None,0,Sun-Moon,1,Saturn-Venus,1,False,False,False,False,False,False,False
Q1107,David Heath,1954-03-16,English politician,Politics_Government,Venus|Saturn,2,None,0,Jupiter-Venus,1,False,False,False,True,False,False,True
Q1108,H.P. Baxxter,1966-03-16,German musician,Actor_Media,None,0,Sun-Saturn|Mercury-Mars,2,None,0,False,False,False,False,False,False,False
Q1109,Brooke Burns,1978-03-16,"American fashion model, television personality, and actress",Actor_Media,Moon|Venus,2,Moon-Jupiter|Mercury-Venus,2,Jupiter-Mercury,1,False,True,False,True,False,False,False
Q1110,Blake Griffin,1989-03-16,American basketball player,Athlete,None,0,Sun-Venus|Mars-Jupiter,2,None,0,False,False,False,False,False,False,False
Q1111,Harun al-Rashid,0763-03-17,Abbasid caliph,Other,None,0,Moon-Jupiter,1,None,0,False,False,False,False,False,False,False
Q1112,Jean-Baptiste Oudry,1686-03-17,French painter and engraver,Other,None,0,Venus-Mars,1,Mercury-Saturn,1,False,False,False,False,False,False,False
Q1113,Gottlieb Daimler,1834-03-17,"German engineer and businessman, co-founded Daimler-Motoren-Gesellschaft",Business,Moon|Venus|Mars,3,Sun-Venus,1,None,0,False,True,False,True,True,False,False
Q1114,Joseph Baptista,1864-03-17,"Indian engineer, lawyer, and politician",Politics_Government,Mars,1,None,0,Mercury-Saturn,1,False,False,False,False,True,False,False
Q1115,Princess Patricia of Connaught,1886-03-17,,Unknown,None,0,None,0,Jupiter-Mercury,1,False,False,False,False,False,False,False
Q1116,Bobby Jones,1902-03-17,American golfer and lawyer,Athlete,None,0,Sun-Mars,1,None,0,False,False,False,False,False,False,False
Q1117,Sammy Baugh,1914-03-17,American football player and coach,Athlete,Venus,1,None,0,None,0,False,False,False,True,False,False,False
Q1118,Stephen Dodgson,1924-03-17,English composer and educator,Other,Saturn,1,Sun-Mercury,1,Jupiter-Mars,1,False,False,False,False,False,False,True
Q1119,Myrlie Evers-Williams,1933-03-17,American journalist and activist,Writer_Journalism,None,0,None,0,Jupiter-Sun,1,False,False,False,False,False,False,False
Q1120,John Wayne Gacy,1942-03-17,American serial killer and rapist,Other,None,0,Sun-Moon|Mars-Jupiter,2,Saturn-Venus,1,False,False,False,False,False,False,False
Q1121,Barry Horne,1952-03-17,English activist,Other,None,0,Mercury-Jupiter,1,None,0,False,False,False,False,False,False,False
Q1122,Stefano Borgonovo,1964-03-17,Italian footballer,Athlete,None,0,Sun-Mercury|Sun-Mars|Moon-Venus,3,None,0,False,False,False,False,False,False,False
Q1123,Mark Dolan,1974-03-17,English comedian and television host,Actor_Media,None,0,Mercury-Jupiter,1,Mercury-Saturn,1,False,False,False,False,False,False,False
Q1124,Steven Pienaar,1982-03-17,South African footballer,Athlete,None,0,Mars-Saturn,1,Mercury-Saturn,1,False,False,False,False,False,False,False
Q1125,Hozier,1990-03-17,Irish musician,Actor_Media,Mars,1,Sun-Mercury|Venus-Mars,2,Jupiter-Mercury,1,False,False,False,False,True,False,False
Q1126,Al-Zamakhshari,1075-03-18,Persian scholar and theologian,Academic_Science,None,0,Sun-Mercury|Venus-Jupiter,2,Mars-Venus,1,False,False,False,False,False,False,False
Q1127,Simon Bradstreet,1603-03-18,English colonial magistrate,Other,Moon,1,None,0,Jupiter-Mars,1,False,True,False,False,False,False,False
Q1128,John C. Calhoun,1782-03-18,"American lawyer and politician, 7th Vice President of the United States",Politics_Government,Venus,1,Sun-Mercury|Sun-Venus|Moon-Mars|Mercury-Venus|Jupiter-Saturn,5,None,0,False,False,False,True,False,False,False
Q1129,Randal Cremer,1828-03-18,"English activist and politician, Nobel Prize laureate",Politics_Government,None,0,Sun-Mercury|Moon-Venus,2,None,0,False,False,False,False,False,False,False
Q1130,Eugène Jansson,1862-03-18,Swedish painter,Other,None,0,Mercury-Venus|Jupiter-Saturn,2,Jupiter-Sun,1,False,False,False,False,False,False,False
Q1131,Bernard Cronin,1884-03-18,English-Australian journalist and author,Writer_Journalism,Jupiter,1,None,0,Mars-Moon,1,False,False,False,False,False,True,False
Q1132,John Zachary Young,1907-03-18,English zoologist and neurophysiologist,Other,None,0,Sun-Mercury|Sun-Saturn|Mercury-Saturn,3,Jupiter-Mercury,1,False,False,False,False,False,False,False
Q1133,Andy Granatelli,1923-03-18,American race car driver and businessman,Business,None,0,None,0,Mercury-Saturn,1,False,False,False,False,False,False,False
Q1134,Unita Blackwell,1933-03-18,American civil rights activist and politician,Politics_Government,None,0,None,0,Jupiter-Sun,1,False,False,False,False,False,False,False
Q1135,Dennis Linde,1943-03-18,American singer-songwriter,Actor_Media,Mars,1,None,0,None,0,False,False,False,False,True,False,False
Q1136,Will Durst,1952-03-18,American journalist and actor,Actor_Media,None,0,Mercury-Jupiter,1,None,0,False,False,False,False,False,False,False
