iter	Passed	Remaining
399	45842	11460
400	45964	11347
401	46075	11232
402	46187	11116
403	46298	11001
404	46410	10886
405	46522	10771
406	46633	10655
407	46746	10540
408	46858	10425
409	46972	10311
410	47084	10195
411	47196	10080
412	47308	9965
413	47420	9850
414	47532	9735
415	47643	9620
416	47755	9505
417	47868	9390
418	47988	9277
419	48100	9162
420	48212	9047
421	48324	8931
422	48436	8816
423	48548	8702
424	48660	8587
425	48772	8472
426	48884	8357
427	49001	8243
428	49113	8128
429	49225	8013
430	49337	7898
431	49449	7783
432	49560	7668
433	49673	7553
434	49785	7439
435	49897	7324
436	50012	7210
437	50124	7095
438	50236	6980
439	50348	6865
440	50460	6750
441	50572	6636
442	50683	6521
443	50795	6406
444	50909	6292
445	51026	6178
446	51138	6063
447	51250	5948
448	51362	5834
449	51473	5719
450	51585	5604
451	51697	5489
452	51809	5375
453	51921	5260
454	52037	5146
455	52150	5032
456	52262	4917
457	52374	4802
458	52486	4688
459	52598	4573
460	52711	4459
461	52823	4344
462	52937	4230
463	53062	4116
464	53173	4002
465	53284	3887
466	53395	3773
467	53506	3658
468	53619	3544
469	53732	3429
470	53843	3315
471	53954	3200
472	54072	3086
473	54192	2972
474	54306	2858
475	54427	2744
476	54551	2630
477	54666	2516
478	54786	2401
479	54906	2287
480	55034	2173
481	55149	2059
482	55268	1945
483	55393	1831
484	55513	1716
485	55635	1602
486	55756	1488
487	55872	1373
488	55990	1259
489	56120	1145
490	56236	1030
491	56350	916
492	56465	801
493	56580	687
494	56694	572
495	56806	458
496	56918	343
497	57050	229
498	57164	114
499	57276	0
