id,version,found,planets,max_gap,strength,score
67,4_planet,False,,360,0,0
67,5_planet,False,,360,0,0
67,7_planet,False,,360,0,0
68,4_planet,False,,360,0,0
68,5_planet,False,,360,0,0
68,7_planet,False,,360,0,0
69,4_planet,False,,360,0,0
69,5_planet,False,,360,0,0
69,7_planet,False,,360,0,0
70,4_planet,False,,360,0,0
70,5_planet,False,,360,0,0
70,7_planet,False,,360,0,0
71,4_planet,False,,360,0,0
71,5_planet,False,,360,0,0
71,7_planet,False,,360,0,0
72,4_planet,False,,360,0,0
72,5_planet,False,,360,0,0
72,7_planet,False,,360,0,0
73,4_planet,False,,360,0,0
73,5_planet,False,,360,0,0
73,7_planet,False,,360,0,0
74,4_planet,False,,360,0,0
74,5_planet,False,,360,0,0
74,7_planet,False,,360,0,0
75,4_planet,False,,360,0,0
75,5_planet,False,,360,0,0
75,7_planet,False,,360,0,0
76,4_planet,False,,360,0,0
76,5_planet,False,,360,0,0
76,7_planet,False,,360,0,0
77,4_planet,False,,360,0,0
77,5_planet,False,,360,0,0
77,7_planet,False,,360,0,0
78,4_planet,False,,360,0,0
78,5_planet,False,,360,0,0
78,7_planet,False,,360,0,0
79,4_planet,False,,360,0,0
79,5_planet,False,,360,0,0
79,7_planet,False,,360,0,0
80,4_planet,False,,360,0,0
80,5_planet,False,,360,0,0
80,7_planet,False,,360,0,0
81,4_planet,False,,360,0,0
81,5_planet,False,,360,0,0
81,7_planet,False,,360,0,0
82,4_planet,False,,360,0,0
82,5_planet,False,,360,0,0
82,7_planet,False,,360,0,0
83,4_planet,False,,360,0,0
83,5_planet,False,,360,0,0
83,7_planet,False,,360,0,0
84,4_planet,False,,360,0,0
84,5_planet,False,,360,0,0
84,7_planet,False,,360,0,0
85,4_planet,False,,360,0,0
85,5_planet,False,,360,0,0
85,7_planet,False,,360,0,0
86,4_planet,False,,360,0,0
86,5_planet,False,,360,0,0
86,7_planet,False,,360,0,0
87,4_planet,False,,360,0,0
87,5_planet,False,,360,0,0
87,7_planet,False,,360,0,0
88,4_planet,False,,360,0,0
88,5_planet,False,,360,0,0
88,7_planet,False,,360,0,0
89,4_planet,False,,360,0,0
89,5_planet,False,,360,0,0
89,7_planet,False,,360,0,0
90,4_planet,False,,360,0,0
90,5_planet,False,,360,0,0
90,7_planet,False,,360,0,0
91,4_planet,False,,360,0,0
91,5_planet,False,,360,0,0
91,7_planet,False,,360,0,0
92,4_planet,False,,360,0,0
92,5_planet,False,,360,0,0
92,7_planet,False,,360,0,0
93,4_planet,False,,360,0,0
93,5_planet,False,,360,0,0
93,7_planet,False,,360,0,0
94,4_planet,False,,360,0,0
94,5_planet,False,,360,0,0
94,7_planet,False,,360,0,0
95,4_planet,False,,360,0,0
95,5_planet,False,,360,0,0
95,7_planet,False,,360,0,0
96,4_planet,False,,360,0,0
96,5_planet,False,,360,0,0
96,7_planet,False,,360,0,0
97,4_planet,False,,360,0,0
97,5_planet,False,,360,0,0
97,7_planet,False,,360,0,0
98,4_planet,False,,360,0,0
98,5_planet,False,,360,0,0
98,7_planet,False,,360,0,0
99,4_planet,False,,360,0,0
99,5_planet,False,,360,0,0
99,7_planet,False,,360,0,0
100,4_planet,False,,360,0,0
100,5_planet,False,,360,0,0
100,7_planet,False,,360,0,0
101,4_planet,False,,360,0,0
101,5_planet,False,,360,0,0
101,7_planet,False,,360,0,0
102,4_planet,False,,360,0,0
102,5_planet,False,,360,0,0
102,7_planet,False,,360,0,0
103,4_planet,False,,360,0,0
103,5_planet,False,,360,0,0
103,7_planet,False,,360,0,0
104,4_planet,False,,360,0,0
104,5_planet,False,,360,0,0
104,7_planet,False,,360,0,0
105,4_planet,False,,360,0,0
105,5_planet,False,,360,0,0
105,7_planet,False,,360,0,0
106,4_planet,False,,360,0,0
106,5_planet,False,,360,0,0
106,7_planet,False,,360,0,0
107,4_planet,False,,360,0,0
107,5_planet,False,,360,0,0
107,7_planet,False,,360,0,0
108,4_planet,False,,360,0,0
108,5_planet,False,,360,0,0
108,7_planet,False,,360,0,0
109,4_planet,False,,360,0,0
109,5_planet,False,,360,0,0
109,7_planet,False,,360,0,0
110,4_planet,False,,360,0,0
110,5_planet,False,,360,0,0
110,7_planet,False,,360,0,0
111,4_planet,False,,360,0,0
111,5_planet,False,,360,0,0
111,7_planet,False,,360,0,0
112,4_planet,False,,360,0,0
112,5_planet,False,,360,0,0
112,7_planet,False,,360,0,0
113,4_planet,False,,360,0,0
113,5_planet,False,,360,0,0
113,7_planet,False,,360,0,0
114,4_planet,False,,360,0,0
114,5_planet,False,,360,0,0
114,7_planet,False,,360,0,0
